6.00	78500	0.68%
5.99	116944	1.01%
5.98	45400	0.39%
5.97	175650	1.51%
5.96	79663	0.69%
5.95	239941	2.06%
5.94	137460	1.18%
5.93	57870	0.50%
5.92	193480	1.67%
5.91	599623	5.16%
5.90	1018151	8.76%
5.89	594330	5.11%
5.88	683696	5.88%
5.87	1173431	10.10%
5.86	1296597	11.16%
5.85	741714	6.38%
5.84	417885	3.60%
5.83	532431	4.58%
5.82	630631	5.43%
5.81	57960	0.50%
5.80	41355	0.36%
5.79	93510	0.80%
5.78	283973	2.44%
5.77	307726	2.65%
5.76	387459	3.33%
5.75	455108	3.92%
5.74	407746	3.51%
5.73	365300	3.14%
5.72	261890	2.25%
5.71	144917	1.25%
